number;question;answer;explaination;Column1;_1;_2
11;Ο ψηφιακός μετασχηματισμός αποτελεί απλή αντικατάσταση του παλιού εξοπλισμού με νέους υπολογιστές.;Λάθος;Ο ψηφιακός μετασχηματισμός είναι μια ολιστική οργανωσιακή αλλαγή, όχι απλή τεχνολογική αναβάθμιση.;;;
12;Τα ERP συστήματα συνδέουν όλα τα τμήματα μιας επιχείρησης, όπως πωλήσεις, παραγωγή και οικονομικά, σε ένα ενιαίο πλαίσιο.;Σωστό;Το ERP (Enterprise Resource Planning) έχει ως βασική λειτουργία την ενοποίηση των λειτουργιών της επιχείρησης.;;;
13;Η εκπαίδευση του προσωπικού δεν επηρεάζει την επιτυχία του ψηφιακού μετασχηματισμού.;Λάθος;Η εκπαίδευση του προσωπικού και η ψηφιακή κουλτούρα είναι κρίσιμες για την επιτυχή υιοθέτηση των νέων τεχνολογιών.;;;
14;Οι ψηφιακές πλατφόρμες CRM βοηθούν στην προσωποποίηση της εμπειρίας πελάτη με βάση τη συμπεριφορά του.;Σωστό;Τα συστήματα CRM (Customer Relationship Management) συλλέγουν δεδομένα πελατών για εξατομικευμένη εξυπηρέτηση και εμπειρία.;;;
15;Τα μεγάλα δεδομένα (Big Data) και η τεχνητή νοημοσύνη (AI) είναι εργαλεία που βοηθούν στην πρόβλεψη τάσεων αγοράς.;Σωστό;Το Big Data και η AI αναλύουν τεράστιους όγκους δεδομένων για να προβλέψουν μοτίβα και τάσεις.;;;
16;"Ποιο από τα παρακάτω είναι βασικό χαρακτηριστικό των Incoterms;";Ορίζουν ποιος φέρει το κόστος και τον κίνδυνο σε μια διεθνή συναλλαγή;Οι Incoterms (International Commercial Terms) καθορίζουν τις υποχρεώσεις, το κόστος και τον κίνδυνο μεταξύ αγοραστή και πωλητή.;;;
17;"Ποια τεχνολογία βοηθά στην αυτόματη διαχείριση τιμολογίων και πληρωμών;";RPA (Robotic Process Automation);Η RPA αυτοματοποιεί επαναλαμβανόμενες, βασιζόμενες σε κανόνες, εργασίες όπως η διαχείριση τιμολογίων και πληρωμών.;;;
18;"Ποια από τις παρακάτω εταιρείες αποτελεί παράδειγμα ψηφιακού μετασχηματισμού με χρήση AI και cloud τεχνολογιών;";Tesla;Η Tesla είναι ένα συχνά αναφερόμενο παράδειγμα ψηφιακά μετασχηματισμένης εταιρείας που χρησιμοποιεί AI και cloud για λειτουργίες και καινοτομία.;;;
19;"Τι επιτυγχάνει η χρήση ψηφιακών εργαλείων marketing;";Αυτοματοποιεί ενέργειες με βάση τη συμπεριφορά πελατών;Τα ψηφιακά εργαλεία marketing επιτρέπουν την αυτοματοποίηση (π.χ. email marketing) και την εξατομίκευση βάσει δεδομένων συμπεριφοράς.;;;
20;Η στενή (ή αδύναμη) Τεχνητή Νοημοσύνη έχει τη δυνατότητα να εκτελεί γενικές γνωστικές λειτουργίες, όπως η δημιουργικότητα και η συναισθηματική κατανόηση.;Λάθος;Η **στενή** Τεχνητή Νοημοσύνη (Narrow AI) έχει περιορισμένες δυνατότητες σε συγκεκριμένα καθήκοντα. Η **Γενική** Τεχνητή Νοημοσύνη (AGI) στοχεύει σε γενικές γνωστικές λειτουργίες.;;;
21;Η βαθιά μάθηση (Deep Learning) χρησιμοποιεί πολυεπίπεδα τεχνητά νευρωνικά δίκτυα για την αυτόματη εκμάθηση μοτίβων από μεγάλα σύνολα δεδομένων.;Σωστό;Αυτό είναι ο ορισμός της **Βαθιάς Μάθησης**, η οποία χρησιμοποιεί βαθιά (πολυεπίπεδα) νευρωνικά δίκτυα.;;;
22;Η χρήση Τεχνητής Νοημοσύνης στην υγειονομική περίθαλψη περιορίζεται μόνο στη διαχείριση ιατρικών ραντεβού και στη διοικητική υποστήριξη.;Λάθος;Η ΑΙ στην υγειονομική περίθαλψη επεκτείνεται σε διάγνωση, ανακάλυψη φαρμάκων και εξατομικευμένη θεραπεία.;;;
23;Οι πλατφόρμες όπως το Netflix και το Spotify χρησιμοποιούν τεχνικές AI για την εξατομίκευση των προτάσεων περιεχομένου με βάση τη συμπεριφορά των χρηστών.;Σωστό;Αυτά τα συστήματα χρησιμοποιούν αλγορίθμους AI και Μηχανικής Μάθησης για εξατομικευμένες συστάσεις.;;;
24;Η Γενική Τεχνητή Νοημοσύνη (AGI) είναι ήδη εμπορικά διαθέσιμη και χρησιμοποιείται ευρέως στη βιομηχανία και τις υπηρεσίες.;Λάθος;Η AGI (General AI) δεν είναι ακόμη πλήρως ανεπτυγμένη ή ευρέως διαθέσιμη.;;;
25;Η Γενική Τεχνητή Νοημοσύνη (AGI) είναι ήδη πλήρως ανεπτυγμένη και χρησιμοποιείται ευρέως στην καθημερινότητα.;Λάθος;Η AGI (General AI) δεν είναι ακόμη πλήρως ανεπτυγμένη ή ευρέως διαθέσιμη.;;;
26;Η βαθιά μάθηση βασίζεται στη χρήση πολυεπίπεδων τεχνητών νευρωνικών δικτύων που μαθαίνουν από δεδομένα χωρίς ανθρώπινη παρέμβαση.;Σωστό;Η βαθιά μάθηση (Deep Learning) χρησιμοποιεί πολυεπίπεδα νευρωνικά δίκτυα για την αυτόματη εξαγωγή χαρακτηριστικών από δεδομένα.;;;
27;Η ενισχυτική μάθηση βασίζεται αποκλειστικά σε έτοιμες και ετικετοποιημένες βάσεις δεδομένων.;Λάθος;Η ενισχυτική μάθηση (Reinforcement Learning) μαθαίνει μέσω αλληλεπίδρασης με το περιβάλλον, όχι από ετικετοποιημένα δεδομένα (αυτό είναι χαρακτηριστικό της επιβλεπόμενης μάθησης).;;;
28;Η ποικιλομορφία (Variety) στα Big Data σχετίζεται με τον μεγάλο όγκο των δεδομένων που αποθηκεύονται.;Λάθος;Η **Ποικιλομορφία** (Variety) σχετίζεται με τους διαφορετικούς **τύπους** δεδομένων, ενώ ο **Όγκος** (Volume) σχετίζεται με τον μεγάλο **όγκο** δεδομένων.;;;
29;Η λογιστική παλινδρόμηση είναι κατάλληλη για την πρόβλεψη συνεχών αριθμητικών τιμών.;Λάθος;Η **Λογιστική** Παλινδρόμηση (Logistic Regression) χρησιμοποιείται για προβλέψεις **κατηγορικών** τιμών (ταξινόμηση), ενώ η **Γραμμική** Παλινδρόμηση χρησιμοποιείται για **συνεχείς** αριθμητικές τιμές.;;;
30;Το Hadoop χρησιμοποιείται αποκλειστικά για την αποθήκευση μικρών όγκων δεδομένων σε τοπικά περιβάλλοντα.;Λάθος;Το Hadoop είναι πλαίσιο για την **κατανεμημένη** αποθήκευση και επεξεργασία **μεγάλων** συνόλων δεδομένων.;;;
31;Το μοντέλο MapReduce επιτρέπει την παράλληλη επεξεργασία δεδομένων μέσω λειτουργιών Map και Reduce.;Σωστό;Το MapReduce είναι ένα μοντέλο προγραμματισμού για την παράλληλη επεξεργασία μεγάλων συνόλων δεδομένων σε κατανεμημένο περιβάλλον.;;;
32;Οι βάσεις δεδομένων NoSQL είναι κατάλληλες για αυστηρά δομημένα δεδομένα που δεν αλλάζουν με την πάροδο του χρόνου.;Λάθος;Οι βάσεις δεδομένων **NoSQL** είναι κατάλληλες για **μη δομημένα ή ημιδομημένα** δεδομένα που **αλλάζουν συχνά**.;;;
33;Η ανάλυση μεγάλων δεδομένων μπορεί να εφαρμοστεί για την πρόβλεψη της αποχώρησης πελατών (churn prediction).;Σωστό;Η ανάλυση Big Data χρησιμοποιείται για την αναγνώριση μοτίβων πελατών που οδηγούν σε αποχώρηση.;;;
34;Η ανάλυση μεγάλων δεδομένων δεν επηρεάζει την καινοτομία ούτε συμβάλλει στην ανάπτυξη νέων προϊόντων.;Λάθος;Η ανάλυση Big Data παρέχει κρίσιμες πληροφορίες για την αγορά, ενισχύοντας την καινοτομία και την ανάπτυξη νέων προϊόντων.;;;
35;Η Μηχανική Μάθηση χρησιμοποιείται αποκλειστικά για την αυτοματοποίηση παραγωγικών διαδικασιών.;Λάθος;Η Μηχανική Μάθηση (ML) έχει ευρύ φάσμα εφαρμογών, συμπεριλαμβανομένης της ανάλυσης, της πρόβλεψης και της εξατομίκευσης, όχι μόνο της αυτοματοποίησης.;;;
36;Η χρήση ιδιωτικών δικτύων 5G ενισχύει την ασφάλεια και τη διαλειτουργικότητα των εφοδιαστικών αλυσίδων.;Σωστό;Τα ιδιωτικά δίκτυα 5G προσφέρουν αυξημένη ταχύτητα, αξιοπιστία και ασφάλεια, κρίσιμα για τη διαλειτουργικότητα της εφοδιαστικής αλυσίδας.;;;
37;Το WMS επιτρέπει την αυτοματοποιημένη πρόβλεψη ζήτησης και την παρακολούθηση των επιπέδων αποθεμάτων σε πραγματικό χρόνο.;Σωστό;Το WMS (Warehouse Management System) διαχειρίζεται τα αποθέματα και συχνά περιλαμβάνει δυνατότητες πρόβλεψης ζήτησης.;;;
38;Η αξιοποίηση drones για απογραφή μειώνει την ακρίβεια των δεδομένων αποθήκευση.;Λάθος;Τα drones, μέσω της αυτοματοποιημένης σάρωσης, **αυξάνουν** την ακρίβεια και την ταχύτητα της απογραφής.;;;
39;Το Blockchain εφαρμόζεται κυρίως στην εσωτερική διαχείριση προσωπικού και όχι παρακολούθηση προϊόντων.;Λάθος;Το Blockchain εφαρμόζεται κυρίως στην παρακολούθηση προϊόντων (ιχνηλασιμότητα) και σε ασφαλείς συναλλαγές, όχι στη διαχείριση προσωπικού.;;;
40;Η τεχνολογία οπτικής αναζήτησης απαιτεί από τον χρήστη να γνωρίζει τη μάρκα και τα τεχνικά χαρακτηριστικά του προϊόντος.;Λάθος;Η οπτική αναζήτηση επιτρέπει στον χρήστη να αναζητά προϊόντα με βάση μια εικόνα, χωρίς να χρειάζεται να γνωρίζει τη μάρκα ή τα χαρακτηριστικά.;;;
41;Ο ηλεκτρονικός κατάλογος προϊόντων δεν επηρεάζει την απόφαση αγοράς του καταναλωτή.;Λάθος;Ο ψηφιακός κατάλογος, με πλούσιες πληροφορίες και εικόνες, είναι κρίσιμο εργαλείο που επηρεάζει θετικά την απόφαση αγοράς.;;;
42;Τα Chatbots μπορούν να ενισχύσουν την εξυπηρέτηση πελατών προσφέροντας άμεσες, αυτοματοποιημένες απαντήσεις σε συχνές ερωτήσεις.;Σωστό;Τα Chatbots είναι ιδανικά για αυτοματοποιημένες, 24/7 απαντήσεις σε συχνές ερωτήσεις (FAQ).;;;
43;Τα Chatbots βασισμένα σε σενάρια (κανόνες) είναι σε θέση να χειρίζονται σύνθετες, μη προκαθορισμένες ερωτήσεις.;Λάθος;Τα Chatbots βάσει κανόνων είναι περιορισμένα σε προκαθορισμένα σενάρια και δεν μπορούν να χειριστούν σύνθετες ή απροσδόκητες ερωτήσεις.;;;
44;Η τεχνολογία NLU επιτρέπει στο chatbot να κατανοεί προθέσεις χρηστών και να εξάγει σχετικές πληροφορίες.;Σωστό;Το NLU (Natural Language Understanding) είναι η τεχνολογία που επιτρέπει στο chatbot να ερμηνεύει τη γλώσσα των χρηστών.;;;
45;Η δυνατότητα σύνδεσης ενός chatbot με σύστημα CRM δεν επηρεάζει την ποιότητα των παρεχόμενων απαντήσεων.;Λάθος;Η σύνδεση με CRM επιτρέπει στο chatbot να παρέχει εξατομικευμένες και ενημερωμένες απαντήσεις βάσει του ιστορικού του πελάτη, βελτιώνοντας την ποιότητα.;;;
46;Τα Υβριδικά Chatbots συνδυάζουν προσέγγιση βάσει κανόνων και τεχνητή νοημοσύνη για μεγαλύτερη ευελιξία.;Σωστό;Τα υβριδικά chatbots συνδυάζουν τους κανόνες (για συχνές ερωτήσεις) με την AI (για πιο σύνθετες ερωτήσεις).;;;
47;Η ενσωμάτωση chatbot σε ιστοσελίδα μπορεί να υποστηρίξει στρατηγικές ψηφιακού marketing.;Σωστό;Τα chatbots μπορούν να οδηγήσουν σε πωλήσεις, να συλλέξουν leads και να παρέχουν εξατομικευμένες προσφορές, υποστηρίζοντας το digital marketing.;;;
48;Όλα τα Chatbots υποστηρίζουν φωνητικές εντολές και επεξεργασία φωνής.;Λάθος;Πολλά chatbots λειτουργούν μόνο με κείμενο (text-based).;;;
49;Η χρήση Chatbots δεν ενδείκνυται για επιχειρήσεις που δραστηριοποιούνται σε ψηφιακά περιβάλλοντα.;Λάθος;Τα chatbots είναι ιδιαίτερα χρήσιμα σε ψηφιακά περιβάλλοντα για 24/7 εξυπηρέτηση.;;;
50;Τα Chatbots μπορούν να χρησιμοποιηθούν για τη συλλογή δεδομένων σχετικά με τις ανάγκες των πελατών.;Σωστό;Η καταγραφή των συνομιλιών και των ερωτήσεων των χρηστών παρέχει πολύτιμα δεδομένα για τις ανάγκες τους.;;;
51;Τα Chatbots μπορούν να προσφέρουν εξατομικευμένες προτάσεις προϊόντων βάσει προτιμήσεων του χρήστη.;Σωστό;Μέσω της ανάλυσης της συνομιλίας και της σύνδεσης με συστήματα δεδομένων, τα chatbots μπορούν να κάνουν εξατομικευμένες συστάσεις.;;;
52;"Ποια δυνατότητα επιτρέπει στο chatbot να διαχειρίζεται ερωτήσεις όπως «Πότε θα παραδοθεί η παραγγελία μου;";Ενσωμάτωση με σύστημα CRM ή APIs παρακολούθησης παραγγελιών;Για να δώσει δυναμικές πληροφορίες (όπως κατάσταση παραγγελίας), το chatbot πρέπει να είναι συνδεδεμένο με τα σχετικά επιχειρηματικά συστήματα.;;;
53;"Ποια τεχνολογική μονάδα επιτρέπει στο chatbot να κατανοεί τις προθέσεις του πελάτη, ακόμη και σε ερωτήσεις χωρίς ακριβή δομή;";Natural Language Understanding (NLU);Το NLU είναι υπεύθυνο για την κατανόηση του νοήματος, των προθέσεων και των οντοτήτων στο κείμενο του χρήστη.;;;
54;"Ποιο από τα παρακάτω περιγράφεται ως άμεσο όφελος από την υιοθέτηση Chatbots για διεθνείς πελάτες;";Διαθεσιμότητα υποστήριξης 24/7 ανεξαρτήτως ζώνης ώρας;Η 24/7 διαθεσιμότητα είναι κρίσιμη για διεθνείς πελάτες σε διαφορετικές ζώνες ώρας.;;;
55;"Ποια δυνατότητα του chatbot μπορεί να ενισχύσει την εμπειρία πελάτη σε εξαγωγική ιστοσελίδα;";Αυτόματη σύσταση προϊόντων με βάση ενδιαφέροντα χρήστη;Η εξατομικευμένη σύσταση προϊόντων βελτιώνει την εμπειρία αγοράς και αυξάνει τις πωλήσεις.;;;
56;"Ποια λειτουργική μονάδα διατηρεί το ιστορικό αλληλεπίδρασης και επιτρέπει στο chatbot να συνεχίζει τη συνομιλία με βάση το πλαίσιο;";Dialogue Manager;Ο **Dialogue Manager** είναι υπεύθυνος για τη διαχείριση της ροής της συνομιλίας, τη διατήρηση του πλαισίου (context) και την απόκριση.;;;
57;"Ποιο από τα παρακάτω αποτελεί περιορισμό που αναφέρεται στο υλικό;";Δυσκολία κατανόησης σύνθετων ή ασαφών ερωτήσεων;Η δυσκολία στην κατανόηση σύνθετων ή ασαφών ερωτήσεων είναι ένας συχνός περιορισμός των chatbots, ειδικά των rule-based.;;;
58;"Ποια μορφή chatbot είναι κατάλληλη για διαχείριση διεθνών αιτημάτων με ευελιξία και διατήρηση συμφραζομένων;";Υβριδικό ή Συνομιλιακό (Contextual);Τα υβριδικά ή συνομιλιακά chatbots χρησιμοποιούν AI για να κατανοούν το πλαίσιο (context) και να παρέχουν πιο ευέλικτες και ακριβείς απαντήσεις.;;;
59;"Ποια από τις παρακάτω εφαρμογές περιγράφεται στο υλικό ως στρατηγική αξιοποίησης chatbots σε εξαγωγικές επιχειρήσεις;";Υποστήριξη πελατών σε πολλές γλώσσες και ώρες;Η υποστήριξη πελατών 24/7 σε πολλές γλώσσες είναι βασική στρατηγική αξιοποίηση για τις εξαγωγικές επιχειρήσεις.;;;
60;Η διαχείριση πολιτικού κινδύνου στις εξαγωγικές επιχειρήσεις αφορά κυρίως εσωτερικές διαδικασίες και δεν επηρεάζεται από εξωτερικούς γεωπολιτικούς παράγοντες.;Λάθος;Ο **πολιτικός κίνδυνος** (Political Risk) στις εξαγωγές επηρεάζεται **κυρίως** από εξωτερικούς γεωπολιτικούς παράγοντες (π.χ. πραξικοπήματα, κυρώσεις).;;;
61;Τα συμβόλαια μελλοντικής εκπλήρωσης και τα swap s είναι εργαλεία που χρησιμοποιούνται για την αντιστάθμιση συναλλαγματικού κινδύνου.;Σωστό;Τα derivatives όπως τα συμβόλαια μελλοντικής εκπλήρωσης (forwards) και τα swaps χρησιμοποιούνται για αντιστάθμιση κινδύνου.;;;
62;Το ERM (Enterprise Risk Management) περιορίζεται στη διαχείριση μόνο χρηματοοικονομικών κινδύνων.;Λάθος;Το ERM (Enterprise Risk Management) είναι μια ολιστική προσέγγιση που διαχειρίζεται **όλους** τους κινδύνους (λειτουργικούς, στρατηγικούς, χρηματοοικονομικούς κ.λπ.).;;;
63;Η χρήση εργαλείων πρόβλεψης και Business Intelligence δεν είναι απαραίτητη για τη διαχείριση κινδύνου στις εξαγωγικές επιχειρήσεις.;Λάθος;Τα εργαλεία πρόβλεψης και Business Intelligence είναι απαραίτητα για την ανάλυση δεδομένων, την αναγνώριση και την πρόβλεψη πιθανών κινδύνων.;;;
64;Η PESTEL είναι εργαλείο ανάλυσης του εξωτερικού περιβάλλοντος που συμβάλλει στην αναγνώριση πολιτικών και οικονομικών κινδύνων.;Σωστό;Η PESTEL αναλύει Πολιτικούς, Οικονομικούς, Κοινωνικούς, Τεχνολογικούς, Περιβαλλοντικούς και Νομικούς παράγοντες, που είναι κίνδυνοι του εξωτερικού περιβάλλοντος.;;;
65;Η στρατηγική ανοχή κινδύνου μπορεί να διαφέρει ανάλογα με τον κλάδο και τη στρατηγική της επιχείρησης.;Σωστό;Η ανοχή κινδύνου είναι συνάρτηση του κλάδου, του μεγέθους, της κουλτούρας και των στρατηγικών στόχων της επιχείρησης.;;;
66;"Ποιος από τους παρακάτω κινδύνους ΔΕΝ θεωρείται πολιτικός κίνδυνος για τις εξαγωγικές επιχειρήσεις;";Συναλλαγματική αστάθεια;Η συναλλαγματική αστάθεια είναι **χρηματοοικονομικός** κίνδυνος, ενώ οι κυρώσεις, τα πραξικοπήματα και η απαλλοτρίωση είναι **πολιτικοί** κίνδυνοι.;;;
67;"Ποια είναι η βασική λειτουργία της τεχνικής “ανάλυσης σεναρίων”;";Να προβλέπει πιθανά μελλοντικά ενδεχόμενα και να διαμορφώνει στρατηγικές;Η ανάλυση σεναρίων χρησιμοποιείται για τη διερεύνηση διαφορετικών πιθανών μελλοντικών καταστάσεων και τη διαμόρφωση αντίστοιχων στρατηγικών.;;;
68;"Ποιο από τα παρακάτω λογισμικά είναι κατάλληλο για διαχείριση συναλλαγματικού κινδύνου σε πραγματικό χρόνο και παρακολούθηση νομισματικών ισοτιμιών;";Fxall;Το Fxall είναι μια πλατφόρμα συναλλαγών συναλλάγματος και διαχείρισης κινδύνου, κατάλληλη για παρακολούθηση ισοτιμιών.;;;
69;"Ποιο εργαλείο ανάλυσης περιλαμβάνει τους πολιτικούς, οικονομικούς, κοινωνικούς, τεχνολογικούς, περιβαλλοντικούς και νομικούς παράγοντες;";PESTEL;Το ακρωνύμιο **PESTEL** περιλαμβάνει αυτούς ακριβώς τους έξι παράγοντες ανάλυσης του εξωτερικού περιβάλλοντος.;;;
70;Το ηλεκτρονικό εμπόριο περιορίζεται σε τοπικές συναλλαγές και δεν επιτρέπει τη διεθνή ανάπτυξη επιχειρήσεων.;Λάθος;Το ηλεκτρονικό εμπόριο είναι η κύρια πλατφόρμα για τη **διεθνή** επέκταση και τις εξαγωγές (διασυνοριακό εμπόριο).;;;
71;Η τεχνολογία κινητών συσκευών έχει ενισχύσει τον τομέα του ηλεκτρονικού εμπορίου, επιτρέποντας στους καταναλωτές να πραγματοποιούν αγορές σε πραγματικό χρόνο.;Σωστό;Το **Mobile Commerce** (m-commerce) έχει ενισχύσει σημαντικά το ηλεκτρονικό εμπόριο, επιτρέποντας αγορές οπουδήποτε, οποτεδήποτε.;;;
72;Οι μικρές και μεσαίες επιχειρήσεις δεν μπορούν να ανταγωνιστούν σε διεθνές επίπεδο μέσω του ηλεκτρονικού εμπορίου.;Λάθος;Το ηλεκτρονικό εμπόριο προσφέρει στις ΜΜΕ τη δυνατότητα να έχουν παγκόσμια παρουσία και να ανταγωνίζονται διεθνώς με χαμηλό κόστος.;;;
73;Η Τεχνητή Νοημοσύνη (AI) μπορεί να βελτιώσει την αγοραστική εμπειρία προσφέροντας εξατομικευμένες προτάσεις στους καταναλωτές.;Σωστό;Η AI χρησιμοποιείται ευρέως στο e-commerce για συστάσεις προϊόντων, εξατομίκευση και βελτίωση της εμπειρίας πελάτη.;;;
74;Η προστασία προσωπικών δεδομένων δεν είναι σημαντική για τις επιχειρήσεις του ηλεκτρονικού εμπορίου, αφού οι καταναλωτές δεν ανησυχούν για την ασφάλεια των πληροφοριών τους.;Λάθος;Η προστασία δεδομένων είναι κρίσιμη, και οι καταναλωτές δίνουν μεγάλη σημασία στην ασφάλεια των προσωπικών τους δεδομένων.;;;
75;Ο Κανονισμός GDPR απαιτεί από τις επιχειρήσεις να διασφαλίσουν ότι τα προσωπικά δεδομένα των καταναλωτών συλλέγονται, αποθηκεύονται και επεξεργάζονται με διαφάνεια.;Σωστό;Η διαφάνεια, η νομιμότητα και η ασφάλεια είναι βασικές απαιτήσεις του Γενικού Κανονισμού Προστασίας Δεδομένων (GDPR).;;;
76;Η κρυπτογράφηση δεν είναι σημαντική για την προστασία των προσωπικών δεδομένων στο ηλεκτρονικό εμπόριο, καθώς οι πληροφορίες δεν διακινδυνεύουν.;Λάθος;Η κρυπτογράφηση είναι μια από τις πιο ισχυρές τεχνικές για τη διασφάλιση των δεδομένων κατά τη μεταφορά και αποθήκευση.;;;
77;Η αυθεντικοποίηση διπλού παράγοντα (2FA) χρησιμοποιείται για να ενισχύσει την ασφάλεια των λογαριασμών χρηστών στις πλατφόρμες ηλεκτρονικού εμπορίου.;Σωστό;Η 2FA προσθέτει ένα επιπλέον επίπεδο ασφάλειας πέρα από τον κωδικό πρόσβασης.;;;
78;Οι συσκευές που χρησιμοποιούν μηχανική μάθηση δεν μπορούν να εντοπίσουν απάτες στο ηλεκτρονικό εμπόριο.;Λάθος;Οι αλγόριθμοι μηχανικής μάθησης είναι αποτελεσματικοί στην ανίχνευση ανωμαλιών και στην πρόληψη απάτης.;;;
79;Οι παραβιάσεις δεδομένων δεν πρέπει να αναφέρονται στις αρχές εντός 72 ωρών από την ανακάλυψή τους, σύμφωνα με τον κανονισμό GDPR.;Λάθος;Ο GDPR επιβάλλει την αναφορά παραβιάσεων δεδομένων στην αρμόδια αρχή εντός 72 ωρών.;;;
80;Η διασυνοριακή μεταφορά προσωπικών δεδομένων δεν αποτελεί κρίσιμο ζήτημα για την ασφαλή λειτουργία των επιχειρήσεων στο ηλεκτρονικό εμπόριο.;Λάθος;Η διασυνοριακή μεταφορά δεδομένων είναι ένα από τα πιο κρίσιμα και ρυθμιζόμενα ζητήματα ασφάλειας και συμμόρφωσης (π.χ. GDPR).;;;
81;Το EU–US Privacy Shield παρέχει εγγυήσεις ότι οι ΗΠΑ πληρούν τα επίπεδα προστασίας του GDPR για την προστασία των προσωπικών δεδομένων των Ευρωπαίων πολιτών.;Λάθος;Το EU-US Privacy Shield έχει ακυρωθεί (από το Δικαστήριο της ΕΕ), και η μεταφορά δεδομένων προς ΗΠΑ ρυθμίζεται πλέον διαφορετικά.;;;
82;Η χρήση κρυπτογράφησης για τη μεταφορά και αποθήκευση προσωπικών δεδομένων είναι μια από τις πιο ισχυρές τεχνικές προστασίας στον ψηφιακό κόσμο.;Σωστό;Η κρυπτογράφηση καθιστά τα δεδομένα μη αναγνώσιμα από μη εξουσιοδοτημένα μέρη.;;;
83;Οι Τυποποιημένες Συμβατικές Ρήτρες (SCCs) είναι εργαλεία για την ασφαλή μεταφορά δεδομένων σε χώρες που δεν έχουν αναγνωριστεί ως ασφαλείς από την ΕΕ.;Σωστό;Οι SCCs (Standard Contractual Clauses) είναι συμβατικές ρήτρες που παρέχουν νομική βάση για τη μεταφορά δεδομένων εκτός ΕΟΧ.;;;
